1000 100000
1 5 7
1 10 18
1 13 9
1 20 1
1 22 43
1 24 44
1 47 20
1 61 42
1 85 46
1 90 30
1 99 6
1 111 2
1 115 33
1 128 34
1 130 34
1 147 17
1 163 33
1 182 20
1 183 18
1 186 36
1 196 36
1 211 20
1 213 7
1 224 48
1 231 22
1 236 3
1 241 10
1 253 4
1 255 10
1 257 24
1 268 14
1 270 9
1 275 41
1 280 37
1 281 15
1 293 39
1 305 15
1 307 2
1 327 22
1 334 42
1 351 30
1 361 12
1 366 30
1 370 37
1 382 45
1 383 18
1 390 20
1 403 42
1 408 2
1 420 18
1 422 23
1 452 44
1 465 10
1 478 31
1 479 50
1 482 45
1 494 33
1 511 13
1 513 19
1 517 11
1 518 43
1 526 8
1 531 43
1 549 30
1 552 31
1 555 1
1 556 23
1 557 32
1 569 22
1 576 7
1 577 16
1 592 32
1 600 32
1 605 34
1 611 25
1 612 12
1 620 34
1 639 2
1 642 1
1 650 24
1 656 9
1 660 4
1 661 4
1 669 44
1 671 1
1 676 18
1 678 36
1 681 47
1 687 15
1 691 22
1 700 4
1 715 34
1 733 20
1 734 17
1 747 16
1 769 39
1 771 41
1 784 42
1 789 6
1 792 25
1 793 42
1 808 47
1 842 38
1 844 4
1 852 2
1 872 4
1 908 3
1 917 49
1 921 33
1 929 4
1 940 39
1 943 40
1 951 48
1 957 50
1 960 33
1 968 33
1 969 5
1 984 21
1 994 1
1 1000 4
2 5 31
2 6 26
2 11 41
2 25 19
2 34 49
2 38 23
2 41 33
2 47 12
2 54 25
2 57 21
2 65 4
2 75 42
2 90 43
2 92 43
2 98 35
2 103 15
2 108 19
2 122 37
2 123 10
2 126 10
2 134 11
2 150 50
2 157 32
2 173 44
2 179 16
2 201 11
2 204 32
2 226 13
2 248 30
2 251 17
2 256 6
2 257 14
2 260 37
2 285 24
2 286 23
2 289 43
2 295 8
2 305 49
2 310 16
2 312 30
2 322 21
2 323 19
2 337 43
2 341 7
2 375 19
2 392 23
2 394 25
2 395 27
2 400 26
2 441 1
2 453 21
2 462 3
2 474 32
2 498 45
2 503 41
2 506 50
2 514 8
2 519 1
2 534 13
2 544 25
2 555 14
2 561 38
2 562 21
2 588 39
2 593 50
2 600 3
2 603 10
2 608 2
2 619 34
2 621 39
2 626 17
2 630 25
2 651 32
2 658 28
2 661 4
2 675 3
2 678 26
2 679 29
2 680 18
2 696 35
2 697 23
2 698 32
2 701 20
2 704 49
2 715 44
2 746 36
2 766 4
2 780 40
2 781 48
2 786 32
2 798 42
2 814 30
2 818 17
2 822 37
2 829 8
2 848 46
2 863 31
2 880 5
2 885 48
2 895 14
2 896 2
2 901 31
2 908 4
2 916 5
2 924 3
2 927 4
2 947 5
2 953 33
2 956 30
2 985 15
2 989 46
2 993 11
3 42 8
3 55 41
3 91 30
3 104 21
3 106 32
3 107 47
3 112 46
3 115 29
3 133 48
3 134 8
3 135 16
3 159 38
3 161 16
3 162 35
3 168 27
3 170 1
3 195 49
3 199 2
3 201 9
3 214 36
3 234 41
3 256 14
